"ID","Mission_Number","Time_of_Initial_Call","Aircraft_ID","Mission_Activation_Time","Date_and_Time_Connected_to_Asset","TaskStatusID","BaseShiftID","TaskTypeID","SectorID"
"88490","LFA8988","16/09/2017 7:01:16 PM","83","16/09/2017 7:01:28 PM","","3","9","21","2"
"88491","LFA8989","16/09/2017 7:14:44 PM","15","16/09/2017 7:14:53 PM","","3","4","21","2"
"88492","LFA8990","16/09/2017 8:42:10 PM","69","16/09/2017 8:42:20 PM","16/09/2017 8:42:19 PM","3","15","21","2"
"88493","LFA8991","16/09/2017 8:46:22 PM","100","16/09/2017 8:46:32 PM","16/09/2017 8:46:31 PM","3","17","21","2"
"88494","LFA8992","17/09/2017 6:27:35 AM","86","17/09/2017 6:27:48 AM","17/09/2017 6:27:46 AM","3","11","21","2"
"88495","LFA8993","17/09/2017 6:42:09 AM","83","17/09/2017 6:42:20 AM","17/09/2017 6:42:19 AM","3","8","21","2"
"88496","LFA8994","17/09/2017 6:54:52 AM","63","17/09/2017 6:56:16 AM","17/09/2017 6:56:15 AM","3","6","21","2"
"88497","LFA8995","17/09/2017 7:07:36 AM","15","17/09/2017 7:07:49 AM","","3","2","21","2"
"88498","LFA8996","17/09/2017 9:44:01 AM","69","17/09/2017 9:44:09 AM","17/09/2017 9:44:08 AM","3","14","21","2"
"88499","LFA8997","17/09/2017 9:48:45 AM","100","17/09/2017 9:49:02 AM","17/09/2017 9:49:01 AM","3","16","21","2"
"88500","LFA8998","17/09/2017 10:15:59 AM","96","17/09/2017 10:16:08 AM","17/09/2017 10:16:07 AM","3","13","21","2"
"88501","LFA8999","17/09/2017 10:20:16 AM","98","17/09/2017 10:20:23 AM","17/09/2017 10:20:22 AM","3","5","21","2"
"88502","LFA9000","17/09/2017 10:24:05 AM","101","17/09/2017 10:24:18 AM","","3","10","21","2"
"88503","LFA9001","17/09/2017 6:16:37 PM","83","17/09/2017 6:16:50 PM","17/09/2017 6:16:48 PM","3","9","21","2"
"88504","LFA9002","17/09/2017 6:43:58 PM","86","17/09/2017 6:44:05 PM","17/09/2017 6:44:04 PM","3","12","21","2"
"88505","LFA9003","17/09/2017 6:48:26 PM","100","17/09/2017 6:48:36 PM","17/09/2017 6:48:35 PM","3","17","21","2"
"88506","LFA9004","17/09/2017 7:06:42 PM","69","17/09/2017 7:06:51 PM","","3","15","21","2"
"88507","LFA9005","17/09/2017 7:11:22 PM","63","17/09/2017 7:11:45 PM","","3","7","21","2"
"88508","LFA9006","18/09/2017 6:43:24 AM","86","18/09/2017 6:43:40 AM","18/09/2017 11:56:17 AM","3","11","21","2"
"88509","LFA9007","18/09/2017 6:45:06 AM","63","18/09/2017 6:45:26 AM","18/09/2017 6:45:25 AM","5","6","21","2"
"88511","LFA9009","18/09/2017 6:54:12 AM","15","18/09/2017 6:54:24 AM","18/09/2017 6:54:22 AM","3","2","21","2"
"88512","LFA9010","18/09/2017 6:55:56 AM","83","18/09/2017 6:56:07 AM","","3","8","21","2"
"88513","LFA9011","18/09/2017 9:13:37 AM","100","18/09/2017 9:13:46 AM","","3","16","21","2"
"88514","LFA9012","18/09/2017 9:18:38 AM","98","18/09/2017 9:18:51 AM","18/09/2017 9:18:49 AM","3","5","21","2"
"88515","LFA9013","18/09/2017 9:24:22 AM","101","18/09/2017 9:24:35 AM","18/09/2017 9:24:34 AM","3","10","21","2"
"88516","LFA9014","18/09/2017 9:31:05 AM","96","18/09/2017 9:31:16 AM","18/09/2017 9:31:15 AM","3","13","21","2"
"88517","LFA9015","18/09/2017 12:43:16 PM","71","18/09/2017 12:43:25 PM","","3","18","21","2"
"88518","LFA9016","18/09/2017 6:19:30 PM","86","18/09/2017 6:19:44 PM","18/09/2017 6:19:42 PM","3","12","21","2"
"88519","LFA9017","18/09/2017 6:48:53 PM","72","18/09/2017 6:49:12 PM","18/09/2017 6:49:09 PM","3","4","21","2"
"88520","LFA9018","18/09/2017 6:55:57 PM","100","18/09/2017 6:56:06 PM","18/09/2017 6:56:05 PM","3","17","21","2"
"88521","LFA9019","18/09/2017 7:12:38 PM","83","18/09/2017 7:12:48 PM","18/09/2017 7:12:47 PM","3","9","21","2"
"88522","LFA9020","18/09/2017 8:02:10 PM","69","18/09/2017 8:02:19 PM","","3","15","21","2"
"88523","LFA9021","19/09/2017 6:24:50 AM","16","19/09/2017 6:25:14 AM","","3","8","21","2"
"88524","LFA9022","19/09/2017 6:28:53 AM","86","19/09/2017 6:29:02 AM","","3","11","","2"
"88525","LFA9023","19/09/2017 7:02:51 AM","72","19/09/2017 7:03:20 AM","","3","2","21","2"
"88526","LFA9024","19/09/2017 8:07:08 AM","15","19/09/2017 8:07:20 AM","","3","6","21","2"
"88527","LFA9025","19/09/2017 9:28:56 AM","96","19/09/2017 9:29:10 AM","","3","13","21","2"
"88528","LFA9026","19/09/2017 10:34:54 AM","100","19/09/2017 10:35:04 AM","","3","16","21","2"
"88529","LFA9027","19/09/2017 10:48:28 AM","98","19/09/2017 10:48:38 AM","","3","5","21","2"
"88530","LFA9028","19/09/2017 11:59:49 AM","69","19/09/2017 12:00:01 PM","19/09/2017 12:00:11 PM","3","14","21","2"
"88531","LFA9029","19/09/2017 1:46:52 PM","83","19/09/2017 1:47:01 PM","19/09/2017 1:47:09 PM","3","10","21","2"
"88533","LFA9031","19/09/2017 6:09:17 PM","16","19/09/2017 6:09:27 PM","","3","9","21","2"
"88534","LFA9032","19/09/2017 6:14:42 PM","69","19/09/2017 6:14:50 PM","","3","15","21","2"
"88535","LFA9033","19/09/2017 6:26:50 PM","15","19/09/2017 6:27:28 PM","19/09/2017 6:27:32 PM","3","7","21","2"
"88536","LFA9034","19/09/2017 7:29:07 PM","71","19/09/2017 7:29:21 PM","19/09/2017 7:29:22 PM","3","19","21","2"
"88537","LFA9035","19/09/2017 7:58:32 PM","100","19/09/2017 7:58:38 PM","19/09/2017 7:58:41 PM","3","17","21","2"
"88538","LFA9036","19/09/2017 8:10:39 PM","86","19/09/2017 8:10:52 PM","19/09/2017 8:10:52 PM","3","12","21","2"
"88539","LFA9037","19/09/2017 9:39:36 PM","98","19/09/2017 9:39:43 PM","19/09/2017 9:39:42 PM","3","4","21","2"
"88540","LFA9038","20/09/2017 6:09:40 AM","100","20/09/2017 6:09:47 AM","20/09/2017 6:09:45 AM","3","16","21","2"
"88541","LFA9039","20/09/2017 6:24:20 AM","98","20/09/2017 6:24:26 AM","20/09/2017 6:24:26 AM","3","2","21","2"
"88542","LFA9040","20/09/2017 6:30:46 AM","15","20/09/2017 6:31:56 AM","","3","6","21","2"
"88543","LFA9041","20/09/2017 6:50:48 AM","16","20/09/2017 6:51:02 AM","","3","8","21","2"
"88544","LFA9042","20/09/2017 6:55:59 AM","86","20/09/2017 6:56:15 AM","","3","11","21","2"
"88546","LFA9044","20/09/2017 9:54:03 AM","69","20/09/2017 9:55:32 AM","20/09/2017 9:55:29 AM","3","14","21","2"
"88547","LFA9045","20/09/2017 10:05:29 AM","72","20/09/2017 10:05:42 AM","20/09/2017 2:09:08 PM","3","5","21","2"
"88548","LFA9046","20/09/2017 10:11:17 AM","86","20/09/2017 10:11:36 AM","","3","13","21","2"
"88549","LFA9047","20/09/2017 12:45:45 PM","68","20/09/2017 12:45:54 PM","20/09/2017 12:46:01 PM","3","10","21","2"
"88550","LFA9048","20/09/2017 5:29:27 PM","98","20/09/2017 5:29:41 PM","","3","4","21","2"
"88551","LFA9049","20/09/2017 6:19:36 PM","16","20/09/2017 6:19:48 PM","20/09/2017 6:19:47 PM","3","9","21","2"
"88552","LFA9050","20/09/2017 6:22:44 PM","63","20/09/2017 6:22:57 PM","20/09/2017 6:22:56 PM","3","7","21","2"
"88553","LFA9051","20/09/2017 6:28:11 PM","100","20/09/2017 6:28:22 PM","20/09/2017 6:28:20 PM","3","17","21","2"
"88554","LFA9052","20/09/2017 6:34:31 PM","86","20/09/2017 6:34:42 PM","20/09/2017 6:34:41 PM","3","12","21","2"
"88555","LFA9053","21/09/2017 6:52:11 AM","63","21/09/2017 6:52:27 AM","","3","6","21","2"
"88556","LFA9054","21/09/2017 7:00:02 AM","98","21/09/2017 7:01:30 AM","","3","2","21","2"
"88557","LFA9055","21/09/2017 7:07:16 AM","16","21/09/2017 7:07:32 AM","","3","8","21","2"
"88558","LFA9056","21/09/2017 7:20:43 AM","86","21/09/2017 7:21:07 AM","","3","11","21","2"
"88559","LFA9057","21/09/2017 9:26:39 AM","69","21/09/2017 9:26:49 AM","21/09/2017 9:26:47 AM","3","14","21","2"
"88560","LFA9058","21/09/2017 9:31:24 AM","96","21/09/2017 9:31:36 AM","21/09/2017 9:31:35 AM","3","13","21","2"
"88561","LFA9059","21/09/2017 9:38:36 AM","68","21/09/2017 9:39:20 AM","","3","10","21","2"
"88562","LFA9060","21/09/2017 9:54:04 AM","72","21/09/2017 9:54:17 AM","21/09/2017 9:54:15 AM","3","5","21","2"
"88563","LFA9061","21/09/2017 10:17:22 AM","100","21/09/2017 10:17:36 AM","","3","16","21","2"
"88565","LFA9063","21/09/2017 6:24:26 PM","83","21/09/2017 6:24:39 PM","21/09/2017 6:24:37 PM","3","9","21","2"
"88566","LFA9064","21/09/2017 6:31:14 PM","69","21/09/2017 6:31:35 PM","","3","15","","2"
"88567","LFA9065","21/09/2017 6:45:43 PM","63","21/09/2017 6:45:54 PM","21/09/2017 6:45:53 PM","3","7","21","2"
"88568","LFA9066","21/09/2017 6:51:57 PM","86","21/09/2017 6:52:03 PM","","3","12","21","2"
"88569","LFA9067","21/09/2017 7:05:26 PM","98","21/09/2017 7:05:32 PM","","3","4","21","2"
"88570","LFA9068","21/09/2017 11:51:34 PM","71","21/09/2017 11:52:16 PM","","3","18","21","2"
"88572","LFA9070","22/09/2017 7:00:13 AM","86","22/09/2017 7:00:21 AM","","3","11","21","2"
"88573","LFA9071","22/09/2017 7:17:48 AM","83","22/09/2017 7:18:09 AM","","3","8","21","2"
"88574","LFA9072","22/09/2017 7:22:09 AM","72","22/09/2017 7:22:26 AM","","3","2","21","2"
"88575","LFA9073","22/09/2017 7:31:50 AM","63","22/09/2017 7:32:04 AM","","3","6","21","2"
"88576","LFA9074","22/09/2017 9:48:36 AM","68","22/09/2017 9:48:49 AM","","3","10","21","2"
"88577","LFA9075","22/09/2017 10:14:38 AM","98","22/09/2017 10:14:46 AM","22/09/2017 10:14:45 AM","3","5","21","2"
"88578","LFA9076","22/09/2017 10:53:25 AM","100","22/09/2017 10:53:36 AM","","3","16","21","2"
"88579","LFA9077","22/09/2017 11:24:41 AM","71","22/09/2017 11:24:53 AM","","3","18","21","2"
"88580","LFA9078","22/09/2017 11:33:00 AM","69","22/09/2017 11:33:09 AM","","3","14","21","2"
"88581","LFA9079","22/09/2017 1:19:58 PM","96","22/09/2017 1:20:38 PM","","3","13","21","2"
"88582","LFA9080","22/09/2017 6:17:33 PM","69","22/09/2017 6:17:44 PM","","3","14","21","2"
"88583","LFA9081","22/09/2017 6:24:25 PM","71","22/09/2017 6:24:34 PM","22/09/2017 6:24:33 PM","3","19","21","2"
"88584","LFA9082","22/09/2017 6:39:53 PM","83","22/09/2017 6:40:22 PM","","3","9","21","2"
"88585","LFA9083","22/09/2017 6:44:42 PM","86","22/09/2017 6:44:49 PM","","3","12","21","2"
"88586","LFA9084","22/09/2017 6:48:45 PM","63","22/09/2017 6:48:50 PM","","3","7","21","2"
"88588","LFA9086","22/09/2017 10:09:41 PM","17","22/09/2017 10:10:00 PM","","3","17","21","2"
"88589","LFA9087","23/09/2017 7:01:01 AM","15","23/09/2017 7:01:40 AM","23/09/2017 7:01:39 AM","3","2","21","2"
"88590","LFA9088","23/09/2017 7:03:29 AM","86","23/09/2017 7:03:47 AM","","3","11","21","2"
"88591","LFA9089","23/09/2017 7:04:58 AM","83","23/09/2017 7:05:07 AM","23/09/2017 7:05:06 AM","3","8","21","2"
"88592","LFA9090","23/09/2017 7:15:48 AM","63","23/09/2017 7:15:57 AM","23/09/2017 7:15:55 AM","3","6","21","2"
"88594","LFA9092","23/09/2017 8:23:21 AM","17","23/09/2017 8:25:34 AM","23/09/2017 8:25:51 AM","3","16","21","2"
"88595","LFA9093","23/09/2017 8:30:13 AM","69","23/09/2017 8:30:21 AM","23/09/2017 8:30:22 AM","3","14","21","2"
"88596","LFA9094","23/09/2017 9:37:19 AM","98","23/09/2017 9:37:29 AM","23/09/2017 9:37:27 AM","3","5","21","2"
"88597","LFA9095","23/09/2017 9:37:34 AM","68","23/09/2017 9:37:49 AM","","3","10","21","2"
"88598","LFA9096","23/09/2017 10:06:46 AM","96","23/09/2017 10:06:48 AM","23/09/2017 10:06:54 AM","3","13","21","2"
"88599","LFA9097","23/09/2017 5:20:09 PM","86","23/09/2017 5:20:20 PM","","3","12","21","2"
"88600","LFA9098","23/09/2017 6:12:55 PM","17","23/09/2017 6:13:07 PM","23/09/2017 6:13:05 PM","3","17","23","2"
"88601","LFA9099","23/09/2017 6:25:30 PM","68","23/09/2017 6:25:54 PM","","3","9","21","2"
"88602","LFA9100","23/09/2017 7:13:23 PM","69","23/09/2017 7:13:33 PM","","3","15","21","2"
"88603","LFA9101","23/09/2017 9:04:16 PM","98","23/09/2017 9:04:25 PM","","3","4","21","2"
"88604","LFA9102","24/09/2017 4:04:42 AM","71","24/09/2017 4:05:03 AM","","3","19","21","2"
"88605","LFA9103","24/09/2017 6:54:28 AM","86","24/09/2017 6:54:39 AM","","3","11","21","2"
"88606","LFA9104","24/09/2017 8:01:49 AM","83","24/09/2017 8:02:04 AM","","3","8","21","2"
"88607","LFA9105","24/09/2017 8:04:27 AM","63","24/09/2017 8:04:39 AM","","3","6","21","2"
"88608","LFA9106","24/09/2017 8:33:54 AM","17","24/09/2017 8:34:16 AM","","3","16","21","2"
"88609","LFA9107","24/09/2017 9:39:08 AM","68","24/09/2017 9:39:54 AM","","3","10","21","2"
"88610","LFA9108","24/09/2017 9:50:14 AM","96","24/09/2017 9:50:26 AM","","3","13","21","2"
"88611","LFA9109","24/09/2017 10:32:00 AM","98","24/09/2017 10:32:08 AM","","3","5","21","2"
"88612","LFA9110","24/09/2017 12:44:49 PM","71","24/09/2017 12:45:04 PM","","3","18","21","2"
"88614","LFA9112","24/09/2017 6:40:38 PM","63","24/09/2017 6:40:48 PM","","3","7","21","2"
"88615","LFA9113","24/09/2017 6:42:42 PM","71","24/09/2017 6:43:10 PM","","3","19","21","2"
"88616","LFA9114","24/09/2017 7:11:50 PM","17","24/09/2017 7:12:05 PM","","3","17","21","2"
"88617","LFA9115","24/09/2017 7:34:20 PM","83","24/09/2017 7:34:45 PM","24/09/2017 7:34:43 PM","3","9","21","2"
"88618","LFA9116","24/09/2017 8:51:35 PM","15","24/09/2017 8:51:42 PM","","3","4","21","2"
"88619","LFA9117","24/09/2017 11:13:00 PM","69","24/09/2017 11:13:17 PM","24/09/2017 11:13:15 PM","3","15","21","2"
"88622","LFA9120","25/09/2017 6:44:10 AM","83","25/09/2017 6:44:22 AM","25/09/2017 6:44:20 AM","3","8","21","2"
"88623","LFA9121","25/09/2017 6:49:11 AM","98","25/09/2017 6:49:22 AM","25/09/2017 6:49:21 AM","3","2","21","2"
"88624","LFA9122","25/09/2017 7:01:02 AM","63","25/09/2017 7:01:10 AM","25/09/2017 7:01:09 AM","3","6","21","2"
"88625","LFA9123","25/09/2017 7:40:29 AM","17","25/09/2017 7:40:41 AM","25/09/2017 7:40:41 AM","3","16","21","2"
"88626","LFA9124","25/09/2017 8:11:55 AM","96","25/09/2017 8:12:03 AM","25/09/2017 8:12:02 AM","3","11","21","2"
"88627","LFA9125","25/09/2017 9:10:50 AM","16","25/09/2017 9:10:57 AM","25/09/2017 9:10:56 AM","3","10","21","2"
"88628","LFA9126","25/09/2017 9:12:56 AM","15","25/09/2017 9:13:28 AM","25/09/2017 9:13:27 AM","3","5","21","2"
"88629","LFA9127","25/09/2017 10:20:38 AM","71","25/09/2017 10:20:45 AM","","3","18","21","2"
"88630","LFA9128","25/09/2017 11:17:56 AM","69","25/09/2017 11:18:06 AM","","3","14","21","2"
"88631","LFA9129","25/09/2017 11:52:11 AM","63","25/09/2017 11:52:17 AM","","3","6","21","2"
"88632","LFA9130","25/09/2017 1:13:13 PM","86","25/09/2017 1:13:32 PM","","3","13","21","2"
"88633","LFA9131","25/09/2017 6:28:27 PM","63","25/09/2017 6:28:36 PM","","3","7","21","2"
"88634","LFA9132","25/09/2017 6:30:57 PM","71","25/09/2017 6:31:08 PM","","3","19","21","2"
"88635","LFA9133","25/09/2017 6:46:46 PM","62","25/09/2017 6:46:54 PM","","3","15","21","2"
"88636","LFA9134","25/09/2017 7:01:41 PM","100","25/09/2017 7:01:52 PM","25/09/2017 7:01:50 PM","3","17","21","2"
"88637","LFA9135","25/09/2017 7:25:31 PM","96","25/09/2017 7:25:47 PM","25/09/2017 7:25:46 PM","3","12","21","2"
"88638","LFA9136","25/09/2017 7:38:30 PM","83","25/09/2017 7:38:38 PM","25/09/2017 7:38:37 PM","3","9","21","2"
"88639","LFA9137","26/09/2017 5:52:26 AM","98","26/09/2017 5:52:36 AM","26/09/2017 5:52:35 AM","3","2","21","2"
"88640","LFA9138","26/09/2017 6:31:51 AM","83","26/09/2017 6:32:02 AM","26/09/2017 6:32:00 AM","3","8","","2"
"88641","LFA9139","26/09/2017 6:45:44 AM","86","26/09/2017 6:46:10 AM","26/09/2017 7:20:25 AM","3","11","21","2"
"88642","LFA9140","26/09/2017 6:50:02 AM","63","26/09/2017 6:50:11 AM","26/09/2017 6:50:10 AM","3","6","21","2"
"88643","LFA9141","26/09/2017 9:33:52 AM","62","26/09/2017 9:34:11 AM","26/09/2017 9:34:08 AM","3","14","23","2"
"88644","LFA9142","26/09/2017 9:41:03 AM","15","26/09/2017 9:41:29 AM","26/09/2017 9:41:32 AM","3","5","21","2"
"88645","LFA9143","26/09/2017 9:47:13 AM","101","26/09/2017 9:53:29 AM","26/09/2017 9:53:28 AM","3","10","21","2"
"88646","LFA9144","26/09/2017 10:27:01 AM","96","26/09/2017 10:27:13 AM","26/09/2017 10:27:26 AM","3","13","21","2"
"88647","LFA9145","26/09/2017 6:18:45 PM","86","26/09/2017 6:19:02 PM","26/09/2017 6:18:55 PM","3","12","21","2"
"88648","LFA9146","26/09/2017 6:24:09 PM","62","26/09/2017 6:24:20 PM","26/09/2017 6:24:18 PM","3","15","21","2"
"88649","LFA9147","26/09/2017 6:37:47 PM","83","26/09/2017 6:38:03 PM","26/09/2017 6:38:02 PM","3","9","21","2"
"88650","LFA9148","26/09/2017 8:59:48 PM","71","26/09/2017 8:59:57 PM","","3","19","21","2"
"88651","LFA9149","26/09/2017 9:01:20 PM","63","26/09/2017 9:01:31 PM","","3","7","21","2"
"88652","LFA9150","26/09/2017 9:24:17 PM","100","26/09/2017 9:24:27 PM","","3","17","21","2"
"88653","LFA9151","27/09/2017 6:49:23 AM","15","27/09/2017 6:49:43 AM","","3","2","21","2"
"88654","LFA9152","27/09/2017 6:53:50 AM","83","27/09/2017 6:54:06 AM","","3","8","21","2"
"88655","LFA9153","27/09/2017 7:08:36 AM","86","27/09/2017 7:08:47 AM","","3","11","21","2"
"88656","LFA9154","27/09/2017 7:12:31 AM","71","27/09/2017 7:12:42 AM","","3","18","24","2"
"88657","LFA9155","27/09/2017 8:09:43 AM","63","27/09/2017 8:09:53 AM","","3","6","21","2"
"88658","LFA9156","27/09/2017 9:28:38 AM","68","27/09/2017 9:28:48 AM","","3","10","21","2"
"88659","LFA9157","27/09/2017 9:33:16 AM","96","27/09/2017 9:33:27 AM","27/09/2017 9:33:30 AM","3","13","","2"
"88660","LFA9158","27/09/2017 9:37:36 AM","98","27/09/2017 9:37:49 AM","","3","5","21","2"
"88661","LFA9159","27/09/2017 4:33:02 PM","62","27/09/2017 4:33:14 PM","","3","14","21","2"
"88662","LFA9160","27/09/2017 5:14:58 PM","62","27/09/2017 5:15:11 PM","","3","15","21","2"
"88663","LFA9161","27/09/2017 6:12:50 PM","16","27/09/2017 6:13:11 PM","27/09/2017 6:13:18 PM","3","9","21","2"
"88664","LFA9162","27/09/2017 6:16:11 PM","63","27/09/2017 6:16:25 PM","27/09/2017 6:16:23 PM","3","7","21","2"
"88665","LFA9163","27/09/2017 6:20:55 PM","86","27/09/2017 6:21:12 PM","27/09/2017 6:21:11 PM","3","12","21","2"
"88666","LFA9164","28/09/2017 6:27:40 AM","72","28/09/2017 6:27:49 AM","28/09/2017 6:27:54 AM","3","2","21","2"
"88669","LFA9167","28/09/2017 7:19:07 AM","83","28/09/2017 7:19:46 AM","28/09/2017 7:19:18 AM","3","8","21","2"
"88670","LFA9168","28/09/2017 7:32:29 AM","63","28/09/2017 7:32:38 AM","28/09/2017 7:32:36 AM","3","6","21","2"
"88671","LFA9169","28/09/2017 7:59:12 AM","100","28/09/2017 7:59:31 AM","28/09/2017 7:59:30 AM","3","16","21","2"
"88672","LFA9170","28/09/2017 9:17:34 AM","15","28/09/2017 9:20:44 AM","28/09/2017 9:20:43 AM","3","5","21","2"
"88673","LFA9171","28/09/2017 9:22:52 AM","68","28/09/2017 9:23:04 AM","28/09/2017 9:23:02 AM","3","10","21","2"
"88674","LFA9172","28/09/2017 12:03:21 PM","62","28/09/2017 12:03:34 PM","28/09/2017 12:03:33 PM","3","14","21","2"
"88675","LFA9173","28/09/2017 12:58:28 PM","100","28/09/2017 12:58:39 PM","28/09/2017 12:58:38 PM","3","16","22","2"
"88676","LFA9174","28/09/2017 1:21:45 PM","96","28/09/2017 1:22:02 PM","28/09/2017 1:22:00 PM","3","13","21","2"
"88677","LFA9175","28/09/2017 1:51:37 PM","72","28/09/2017 1:51:50 PM","28/09/2017 2:28:05 PM","3","2","21","2"
"88678","LFA9176","28/09/2017 4:02:01 PM","100","28/09/2017 4:02:06 PM","28/09/2017 4:02:07 PM","3","16","21","2"
"88679","LFA9177","28/09/2017 4:31:23 PM","15","28/09/2017 4:31:35 PM","28/09/2017 4:31:33 PM","3","5","21","2"
"88680","LFA9178","28/09/2017 6:39:43 PM","63","28/09/2017 6:39:59 PM","","3","7","21","2"
"88681","LFA9179","28/09/2017 6:54:37 PM","16","28/09/2017 6:54:57 PM","","3","9","21","2"
"88682","LFA9180","28/09/2017 7:25:25 PM","62","28/09/2017 7:25:34 PM","","3","15","21","2"
"88683","LFA9181","28/09/2017 7:36:45 PM","71","28/09/2017 7:36:56 PM","","3","19","21","2"
"88684","LFA9182","28/09/2017 11:55:26 PM","100","28/09/2017 11:55:32 PM","","3","17","22","2"
"88685","LFA9183","29/09/2017 1:18:52 AM","15","29/09/2017 1:19:01 AM","","3","4","21","2"
"88687","LFA9185","29/09/2017 7:22:48 AM","96","29/09/2017 7:24:32 AM","","3","13","21","2"
"88688","LFA9186","29/09/2017 7:54:36 AM","63","29/09/2017 7:55:06 AM","","3","6","21","2"
"88690","LFA9188","29/09/2017 8:07:51 AM","98","29/09/2017 8:09:27 AM","","3","2","","2"
"88691","LFA9189","29/09/2017 8:38:17 AM","62","29/09/2017 8:38:43 AM","","3","14","21","2"
"88692","LFA9190","29/09/2017 8:45:47 AM","100","29/09/2017 8:46:09 AM","","3","16","21","2"
"88693","LFA9191","29/09/2017 9:36:53 AM","16","29/09/2017 9:37:03 AM","","3","10","21","2"
"88694","LFA9192","29/09/2017 9:50:50 AM","86","29/09/2017 9:51:30 AM","","5","13","21","2"
"88695","LFA9193","29/09/2017 11:56:39 AM","72","29/09/2017 11:56:59 AM","","3","5","21","2"
"88696","LFA9194","29/09/2017 2:40:26 PM","83","29/09/2017 2:41:10 PM","","3","8","21","2"
"88697","LFA9195","29/09/2017 6:40:27 PM","83","29/09/2017 6:41:23 PM","29/09/2017 8:59:23 PM","3","9","21","2"
"88698","LFA9196","29/09/2017 6:43:28 PM","96","29/09/2017 6:43:33 PM","30/09/2017 12:12:05 AM","3","12","21","2"
"88699","LFA9197","29/09/2017 6:45:06 PM","63","29/09/2017 6:45:13 PM","29/09/2017 11:20:17 PM","3","7","21","2"
"88700","LFA9198","29/09/2017 7:18:54 PM","98","29/09/2017 7:19:01 PM","29/09/2017 7:19:03 PM","3","2","","2"
"88701","LFA9199","29/09/2017 7:29:12 PM","71","29/09/2017 7:29:20 PM","29/09/2017 7:29:24 PM","3","19","21","2"
"88702","LFA9200","30/09/2017 6:34:06 AM","83","30/09/2017 6:34:20 AM","30/09/2017 6:34:18 AM","3","8","21","2"
"88703","LFA9201","30/09/2017 6:39:50 AM","72","30/09/2017 6:40:12 AM","30/09/2017 6:40:11 AM","3","2","21","2"
